paper_id,score,title,doi,pmid,year,discovery_route
Pe0c17d2ce8ba,8,Plasmid conjugation from proteobacteria as evidence for the origin of xenologous genes in cyanobacteria,10.1128/jb.01464-13,24509315,2014,negative_keyword
P10ed2bc0c1b6,8,Spread of Carbapenem Resistance by Transposition and Conjugation Among <i>Pseudomonas aeruginosa</i>,10.3389/fmicb.2018.02057,30233535,2018,negative_keyword
Peb4d11db8eb8,8,Development and optimization of an intergeneric conjugation system and analysis of promoter activity in Streptomyces rimosus M527,10.1631/jzus.b1900270,31595725,2019,negative_keyword
P27ec52fc562a,8,"Fourth Generation Cephalosporin Resistance Among <i>Salmonella enterica</i> Serovar Enteritidis Isolates in Shanghai, China Conferred by <i>bla</i> <sub>CTX-M-55</sub> Harboring Plasmids",10.3389/fmicb.2020.00910,32477310,2020,negative_keyword
P46eb6e7e064b,8,Fine-tuning the regulation of Cas9 expression levels for efficient CRISPR-Cas9 mediated recombination in Streptomyces,10.1007/s10295-020-02277-5,32367443,2020,negative_keyword
P99f66ce8a541,8,Genome Editing Methods for Bacillus subtilis,10.1007/978-1-0716-2233-9_11,35583738,2022,negative_keyword
Pa3a4d09b374c,8,The elimination of two restriction enzyme genes allows for electroporation-based transformation and CRISPR-Cas9-based base editing in the non-competent Gram-negative bacterium <i>Acinetobacter</i> sp. Tol 5,10.1128/aem.00400-24,38722179,2024,broad_keyword|negative_keyword
P2a4a3b3d85c8,8,Cell-to-Cell Natural Transformation Mediated Efficient Plasmid Transfer Between <i>Bacillus</i> Species,10.3390/ijms26020621,39859334,2025,negative_keyword
P5d6b55c91c6d,8,Genetic Transformation of the Model Quorum Sensing Bacterium &lt;i&gt;Vibrio campbellii&lt;/i&gt; by Electroporation,10.3390/genes16060626,40565517,2025,negative_keyword
P76647c572525,8,Leveraging CRISPR Cas9 RNPs and Cre-&lt;i&gt;loxP&lt;/i&gt; in &lt;i&gt;Picochlorum celeri&lt;/i&gt; for generation of field deployable strains and selection marker recycling,10.3389/fmicb.2025.1588625,40727561,2025,negative_keyword
Pb5aeedee757f,8,Harnessing an anti-CRISPR protein for powering CRISPR/Cas9-mediated genome editing in undomesticated Bacillus strains,10.1186/s12934-025-02776-z,40551141,2025,negative_keyword
Pbff6c5debde9,8,Transformation of Tn7 insertion elements across strains of Vibrio fischeri,10.1371/journal.pone.0338632,41468393,2025,negative_keyword
Pcd8678c9705e,8,Escherichia coli strain O55 contains two cryptic plasmids that depend on each other to replicate,10.1007/s00203-025-04437-6,40924186,2025,negative_keyword
P4210ed091a8b,8,BPP Bioportide™-mediated (genetic) transformation in cyanobacteria: a rapid and simplified approach for efficient molecular translocation and genome modification,10.3389/fpls.2026.1812316,42100039,2026,negative_keyword
P87aebc2e178f,8,Tuning the F695 fluorescent state in photosystem II using site-directed mutagenesis in Synechocystis sp. PCC 6803,10.1007/s11120-026-01217-1,42151500,2026,negative_keyword
P903c532e3aeb,8,RECC: A Red/ET-CRISPR/Cas9-based system enabling genome mining of marine &lt;i&gt;Pseudoalteromonas&lt;/i&gt; for novel natural products,10.1016/j.synbio.2025.12.015,41574265,2026,broad_keyword|negative_keyword
P9d7287ce9040,8,Strain-specific outer membrane vesicle-mediated transfer of a &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;OXA-24&lt;/sub&gt;-like plasmid in &lt;i&gt;Acinetobacter baumannii&lt;/i&gt; restricts cross-species dissemination,10.1128/msphere.00311-26,42622422,2026,negative_keyword
P55b1d34001d5,7,Low-Toxicity and High-Efficiency <i>Streptomyces</i> Genome Editing Tool Based on the Miniature Type V-F CRISPR/Cas Nuclease AsCas12f1,,38427033,2024,review_reference
P74a7b9fcdf26,6,A continuous method for the large-scale extraction of plasmid DNA by modified boiling lysis,10.1038/nprot.2006.452,17406572,2006,negative_keyword
P22d90c522a7c,6,The replication origin of a repABC plasmid,10.1186/1471-2180-11-158,21718544,2011,negative_keyword
P9021453ce99e,6,Mobilizable Rolling-Circle Replicating Plasmids from Gram-Positive Bacteria: A Low-Cost Conjugative Transfer,10.1128/microbiolspec.plas-0008-2013,25606350,2014,negative_keyword
Pc02adabb613e,6,Random insertion and gene disruption via transposon mutagenesis of Ureaplasma parvum using a mini-transposon plasmid,10.1016/j.ijmm.2014.09.003,25444567,2014,negative_keyword
P4ce71d3fe20f,6,Plasmid-Mediated Transmission of KPC-2 Carbapenemase in <i>Enterobacteriaceae</i> in Critically Ill Patients,10.3389/fmicb.2019.00276,30837980,2019,negative_keyword
Pf198f9eb69d2,6,Genetic Manipulation of Chlamydia trachomatis: Chromosomal Deletions,10.1007/978-1-4939-9694-0_11,31385275,2019,negative_keyword
Pcd139fa7a701,6,Development of both type I-B and type II CRISPR/Cas genome editing systems in the cellulolytic bacterium <i>Clostridium thermocellum</i>,10.1016/j.mec.2019.e00116,31890588,2020,negative_keyword|review_reference
Pfa6019e28d39,6,Universal whole-sequence-based plasmid typing and its utility to prediction of host range and epidemiological surveillance,10.1099/mgen.0.000435,32969786,2020,negative_keyword
P701fe5c52c2b,6,A Cas12a-based gene editing system for Phytophthora infestans reveals monoallelic expression of an elicitor,10.1111/mpp.13051,33724663,2021,negative_keyword
P26462f6ed9b0,6,Whole genome sequencing of OXA-232-producing <i>wzi93</i>-KL112-O1 carbapenem-resistant <i>Klebsiella pneumoniae</i> in human bloodstream infection co-harboring chromosomal IS<i>Ecp1</i>-based <i>bla</i> <sub>CTX-M-15</sub> and one <i>rmpA2</i>-associated virulence plasmid,10.3389/fcimb.2022.984479,36250056,2022,negative_keyword
P01c7fede8d92,6,A guide to <i>Agrobacterium</i>-mediated transformation of the chytrid fungus <i>Spizellomyces punctatus</i>,10.1099/acmi.0.000566.v3,37323946,2023,negative_keyword
P2b557e293ba3,6,Enhanced Efficiency of Rna-guided Cas12a Versus Cas9 Transgene Knock-in and Activity at a Schistosoma Mansoni Genome Safe Harbor,10.21203/rs.3.rs-3492058/v1,,2023,negative_keyword
P360c86b00c33,6,CRISPR/dCas9-Mediated Gene Silencing in Two Plant Fungal Pathogens,10.1128/msphere.00594-22,36655998,2023,negative_keyword
P38584eb8b4c2,6,Enhanced production of D-pantothenic acid in Corynebacterium glutamicum using an efficient CRISPR-Cpf1 genome editing method,10.1186/s12934-023-02017-1,36609377,2023,negative_keyword
P5d661c1d0ee2,6,CRISPRi in Xanthomonas demonstrates functional convergence of transcription activator-like effectors in two divergent pathogens,10.1111/nph.18808,36764921,2023,negative_keyword
Pd10f315292cc,6,A global survey of <i>Salmonella</i> plasmids and their associations with antimicrobial resistance,10.1099/mgen.0.001002,37200081,2023,negative_keyword
Peee22fa6dc9e,6,Mobilization of the <i>bla</i><sub>KPC-14</sub> gene among heterogenous plasmids in extensively drug-resistant hypervirulent <i>Klebsiella pneumoniae</i>,10.3389/fmicb.2023.1261261,38033558,2023,negative_keyword
P0f31d735a2d2,6,Intragenomic conflicts with plasmids and chromosomal mobile genetic elements drive the evolution of natural transformation within species,10.1371/journal.pbio.3002814,39401218,2024,negative_keyword
P64f75ba0b78b,6,Genetic Manipulation of Neisseria gonorrhoeae and Commensal Neisseria Species,10.1002/cpz1.70000,39228292,2024,negative_keyword
P1e186df413ac,6,Stable transgene expression and CRISPR-mediated knock-in system of a bacteria-derived antibiotic selection gene in the green alga Ulva prolifera,10.1186/s12870-025-07411-y,41053552,2025,broad_keyword|negative_keyword
P31cd342b502e,6,The virulence regulator CovR boosts CRISPR-Cas9 immunity in Group B Streptococcus,10.1038/s41467-025-60871-6,40593653,2025,negative_keyword
P39329395b93b,6,SMC-like Wadjet system prevents plasmid transfer into Clostridium cellulovorans,10.1007/s00253-025-13551-w,40699345,2025,negative_keyword
