observation_id,organism_name,strain_name,query_used,gcf_accession,gca_accession,ncbi_taxid,biosample,bioproject,genome_match_status,notes
Pe0c17d2ce8ba-OBS01,Synechococcus elongatus,PCC 7942,Synechococcus elongatus PCC 7942,GCF_030544905.1,,1140,SAMN36340636,PRJNA992074,multiple_possible_matches,"3 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
Peb4d11db8eb8-OBS01,Streptomyces rimosus,M527,Streptomyces rimosus M527,GCF_004196335.1,,1927,SAMN10662615,PRJNA512223,exact_strain_match,
P46eb6e7e064b-OBS01,Streptomyces coelicolor,M145,Streptomyces coelicolor,GCF_047824265.1,,1902,,,species_only_match,15 assemblies found for the species but none matched strain token 'M145'.
P46eb6e7e064b-OBS02,Streptomyces coelicolor / Streptomyces lividans,M145 / TK24,Streptomyces coelicolor,GCF_047824265.1,,1902,,,species_only_match,15 assemblies found for the species but none matched strain token 'M145 / TK24'.
Pa3a4d09b374c-OBS01,Acinetobacter sp.,Tol 5,Acinetobacter sp. Tol 5,GCF_019702905.1,,710648,SAMD00324391,PRJDB11707,exact_strain_match,
Pa3a4d09b374c-OBS02,Acinetobacter sp.,Tol 5 Δrestriction-I Δrestriction-III,Acinetobacter sp.,GCF_965261865.1,,472,,,species_only_match,40 assemblies found for the species but none matched strain token 'Tol 5 Δrestriction-I Δrestriction-III'.
Pa3a4d09b374c-OBS03,Acinetobacter sp.,Tol 5 Δrestriction-I Δrestriction-III,Acinetobacter sp.,GCF_965261865.1,,472,,,species_only_match,40 assemblies found for the species but none matched strain token 'Tol 5 Δrestriction-I Δrestriction-III'.
P2a4a3b3d85c8-OBS01,"Bacillus subtilis and other Bacillus spp. (B. amyloliquefaciens, B. licheniformis, B. thuringiensis)",wild environmental isolates,Bacillus subtilis,GCF_982525085.1,,1423,,,species_only_match,40 assemblies found for the species but none matched strain token 'wild environmental isolates'.
P5d6b55c91c6d-OBS01,Vibrio campbellii,ATCC BAA-1116,Vibrio campbellii ATCC BAA-1116,GCF_000464435.1,,2902295,SAMN02603672,PRJNA210229,multiple_possible_matches,"2 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P5d6b55c91c6d-OBS02,Vibrio campbellii (and sister species V. harveyi),5 of 8 additional strains tested (more heavily lab-passaged),Vibrio campbellii,,GCA_060082665.1,680,,,species_only_match,40 assemblies found for the species but none matched strain token '5 of 8 additional strains tested'.
P76647c572525-OBS01,Picochlorum celeri,not specified in abstract,Picochlorum celeri,,GCA_010909725.1,2695429,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pb5aeedee757f-OBS01,Bacillus subtilis,wild-type (unspecified designation),Bacillus subtilis,GCF_982525085.1,,1423,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pb5aeedee757f-OBS02,Bacillus subtilis,wild-type (unspecified designation),Bacillus subtilis,GCF_982525085.1,,1423,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pb5aeedee757f-OBS03,"Bacillus pumilus, Bacillus mojavensis, Bacillus tequilensis, Paenibacillus polymyxa",wild-type (unspecified designation),Bacillus pumilus,GCF_977007725.1,,1408,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pbff6c5debde9-OBS01,Vibrio fischeri,non-canonical strain (exact designation not in abstract; recipient of ES114-derived DNA),Vibrio fischeri,,GCA_964264725.1,668,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pcd8678c9705e-OBS01,Escherichia coli,clinical isolate O55,Escherichia coli,GCF_987537325.1,,562,,,species_only_match,40 assemblies found for the species but none matched strain token 'clinical isolate O55'.
Pcd8678c9705e-OBS02,Escherichia coli,clinical isolate O55,Escherichia coli,GCF_987537325.1,,562,,,species_only_match,40 assemblies found for the species but none matched strain token 'clinical isolate O55'.
P4210ed091a8b-OBS01,"Synechocystis sp., Synechococcus elongatus, Synechococcus sp.",PCC 6803 / PCC 7942 / UTEX 3153,Synechocystis sp.,,GCA_049459175.1,1143,,,species_only_match,5 assemblies found for the species but none matched strain token 'PCC 6803 / PCC 7942 / UTEX 3153'.
P87aebc2e178f-OBS01,Synechocystis sp.,PCC 6803 (PSI-kd/ΔPBS background strain),Synechocystis sp. PCC 6803,GCF_059739085.1,,1080228,SAMD00444359,PRJDB13097,multiple_possible_matches,"20 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P903c532e3aeb-OBS01,Pseudoalteromonas flavipulchra,DSM 14401,Pseudoalteromonas flavipulchra,GCF_054924155.1,,184924,,,species_only_match,17 assemblies found for the species but none matched strain token 'DSM 14401'.
P9d7287ce9040-OBS01,Acinetobacter baumannii,A2485 (donor) to ATCC 17978 (recipient),Acinetobacter baumannii A2485,GCF_987538625.1,,470,,,species_only_match,20 assemblies found for the species but none matched strain token 'A2485'.
P9d7287ce9040-OBS02,13 non-Acinetobacter baumannii strains,not individually specified in abstract,13 non-Acinetobacter,,,,,,no_genome_found,Strain not resolvable from abstract text; searched at species level only.
P55b1d34001d5-OBS01,Streptomyces hygroscopicus,SIPI-054,Streptomyces hygroscopicus,GCF_037126205.1,,68042,,,species_only_match,40 assemblies found for the species but none matched strain token 'SIPI-054'.
P55b1d34001d5-OBS02,Streptomyces hygroscopicus,SIPI-054,Streptomyces hygroscopicus,GCF_037126205.1,,68042,,,species_only_match,40 assemblies found for the species but none matched strain token 'SIPI-054'.
P55b1d34001d5-OBS03,Streptomyces coelicolor,not specified in abstract,Streptomyces coelicolor,GCF_047824265.1,,1902,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pc02adabb613e-OBS01,Ureaplasma parvum,three serovars (exact numbers not in abstract),Ureaplasma parvum,GCF_984798045.1,,134821,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pc02adabb613e-OBS02,Ureaplasma urealyticum,multiple strains (exact designations not in abstract),Ureaplasma urealyticum,GCF_037406215.1,,2130,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pc02adabb613e-OBS03,Ureaplasma urealyticum,single clinical isolate (exact designation not in abstract),Ureaplasma urealyticum,GCF_037406215.1,,2130,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pf198f9eb69d2-OBS01,Chlamydia trachomatis,not specified in abstract (protocol chapter),Chlamydia trachomatis,GCF_059083935.1,,813,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pcd139fa7a701-OBS01,Clostridium thermocellum,not specified in abstract,Clostridium thermocellum,GCF_004803955.2,,1515,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pcd139fa7a701-OBS02,Clostridium thermocellum,not specified in abstract,Clostridium thermocellum,GCF_004803955.2,,1515,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P39329395b93b-OBS01,Clostridium cellulovorans,743B (wild-type),Clostridium cellulovorans 743B,GCF_000145275.1,,573061,SAMN00002614,PRJNA32609,multiple_possible_matches,"2 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P39329395b93b-OBS02,Clostridium cellulovorans,ΔjetABCD (derived from wildtype 743B),Clostridium cellulovorans ΔjetABCD,GCF_000145275.1,,573061,,,species_only_match,2 assemblies found for the species but none matched strain token 'ΔjetABCD'.
P784f53e48d7c-OBS01,brown algae (Ectocarpus and 3 other species),not specified in abstract,brown algae,,GCA_059791855.1,88149,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pc2aeffefadb1-OBS01,Leuconostoc mesenteroides,H32-02 Ksu,Leuconostoc mesenteroides H32-02 Ksu,GCF_053878295.1,,1245,SAMN53635418,PRJNA1373125,exact_strain_match,
Pcb4a6fe7dfb6-OBS01,Chlamydia trachomatis,plasmid-free recipient (exact designation not in abstract),Chlamydia trachomatis,GCF_059083935.1,,813,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pfbb0f2088e38-OBS01,Alcaligenes faecalis,J481,Alcaligenes faecalis J481,GCF_003716855.1,,511,SAMN10101723,PRJNA492379,exact_strain_match,
Pfbb0f2088e38-OBS02,Alcaligenes faecalis,J481,Alcaligenes faecalis J481,GCF_003716855.1,,511,SAMN10101723,PRJNA492379,exact_strain_match,
Pf1aff6378733-OBS01,Escherichia coli,Nissle 1917 (wild-type),Escherichia coli Nissle 1917,GCF_043228065.1,,316435,SAMN44054533,PRJNA1168672,multiple_possible_matches,"20 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
Pf1aff6378733-OBS02,Escherichia coli,Nissle 1917 EcN-lox (engineered landing-pad derivative),Escherichia coli,GCF_987537325.1,,562,,,species_only_match,40 assemblies found for the species but none matched strain token 'Nissle 1917 EcN-lox'.
Pe96591953493-OBS01,Bifidobacterium animalis subsp. lactis,6 commercial strains (exact designations not in abstract),Bifidobacterium animalis,GCF_047716595.1,,302911,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
Pc0e19cb63463-OBS01,Aspergillus calidoustus,not specified in abstract,Aspergillus calidoustus,,GCA_057383375.1,454130,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P22d90c522a7c-OBS01,Rhizobium etli,strain carrying native plasmid p42d,Rhizobium etli,,GCA_046580715.1,29449,,,species_only_match,22 assemblies found for the species but none matched strain token 'strain carrying native plasmid p42d'.
P22d90c522a7c-OBS02,Rhizobium etli,strain carrying native plasmid p42d,Rhizobium etli,,GCA_046580715.1,29449,,,species_only_match,22 assemblies found for the species but none matched strain token 'strain carrying native plasmid p42d'.
P27ec52fc562a-OBS01,Salmonella enterica serovar Enteritidis,SH12G706-C (transformant) / CRSE isolate panel,Salmonella enterica SH12G706-C,,GCA_007645695.2,57046,,,species_only_match,20 assemblies found for the species but none matched strain token 'SH12G706-C'.
P26462f6ed9b0-OBS01,Klebsiella pneumoniae,KPTCM,Klebsiella pneumoniae KPTCM,GCF_024637995.1,,573,SAMN28422337,PRJNA838426,exact_strain_match,
Peee22fa6dc9e-OBS01,Klebsiella pneumoniae,3 KPC-14-producing CRKP isolates (exact designations not in abstract),Klebsiella pneumoniae,GCF_984572925.1,,573,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
