paper_id,text_source,n_sentences_total,n_tagged_sentences,n_manipulation,n_success,n_failure,n_wild_type,n_not_wild_type,regex_accessions,regex_strains,has_signal
P4732d69493e0,fulltext,120,62,12,8,0,7,7,0,1,True
P003f0cd91324,fulltext,163,42,12,0,0,2,1,0,0,True
P01057f40f3b2,abstract,9,4,2,0,0,0,0,0,0,True
P010da0446b22,fulltext,241,141,12,1,1,12,12,0,3,True
P018376861d30,abstract,10,3,1,0,0,2,0,0,0,True
P01cb888f2da5,abstract,9,9,6,0,0,0,1,0,0,False
P01f13f2cd469,fulltext,213,84,12,0,0,12,9,0,4,True
P033c678f2c64,abstract,10,7,7,0,0,0,1,0,0,False
P0346723bbbb7,abstract,18,2,1,0,0,0,0,0,0,False
P0422b6975d81,abstract,11,9,6,0,0,0,4,0,0,True
P04cc3d62f63b,abstract,6,1,0,0,0,0,1,0,0,False
P050687079f6b,abstract,15,4,2,0,0,2,0,0,0,True
P06283cb1f048,fulltext,191,47,6,0,0,4,1,0,3,True
P06c05a651ea9,fulltext,356,198,12,0,0,12,12,0,0,True
P0787472864c1,abstract,9,5,5,0,0,0,0,0,0,False
P07e60e080998,abstract,14,8,4,0,0,3,0,0,1,True
P08c18c8b3fe1,abstract,10,5,1,0,0,0,0,0,2,True
P0986dac37ed3,abstract,10,7,4,0,0,3,1,0,0,True
P0bec2268554f,abstract,5,3,0,0,0,0,1,0,0,False
P0c999ae29765,abstract,6,3,2,0,0,0,1,0,0,True
P0ce101d5a2a5,abstract,9,7,0,0,0,1,3,0,1,False
P0eb3a02a33d8,fulltext,217,93,12,1,0,12,12,0,0,True
P0fc97dcc17b0,abstract,6,4,4,0,0,0,0,0,0,False
P11e62097ae4a,fulltext,248,93,12,0,2,12,12,1,0,True
P124c6ed18081,fulltext,295,93,12,1,0,12,12,1,0,True
P12ae0f7b3e38,abstract,9,0,0,0,0,0,0,0,0,False
P13927d85eba0,abstract,10,5,3,0,0,0,1,0,0,True
P1424b8598e28,abstract,8,0,0,0,0,0,0,0,0,False
P14a877e59d4e,abstract,10,5,0,0,0,2,0,0,0,False
P151c20e28392,abstract,8,1,0,0,0,0,0,0,0,False
P175c1bc5c92c,abstract,8,3,0,0,0,0,0,0,0,False
P17e4b9fb4c04,abstract,5,0,0,0,0,0,0,0,0,False
P17e754b1877a,abstract,8,2,1,0,0,0,0,0,0,True
P1851edfd42c6,fulltext,211,58,3,0,0,12,0,0,1,True
P1915d53bb863,abstract,7,4,1,0,0,4,0,0,0,True
P19e57d71954c,abstract,9,5,1,0,0,1,3,0,0,True
P1a9d02f3c990,abstract,11,0,0,0,0,0,0,0,0,False
P1aa4d7b79f61,fulltext,419,88,12,3,0,8,4,0,1,True
P1b05642a833c,fulltext,134,55,6,1,0,12,12,1,1,True
P1b306094cee4,abstract,6,6,5,0,0,1,1,0,0,True
P1c521ae37d27,fulltext,257,122,11,0,0,12,12,0,0,True
P1ca778dd3561,abstract,9,5,3,3,0,0,1,0,0,True
P1cb225d3bd20,fulltext,209,73,12,0,0,12,12,0,0,True
P1d29d8540565,abstract,5,5,5,1,0,1,1,0,0,True
P1d38442a0c94,abstract,8,5,3,0,0,2,0,0,0,True
P1df62984e6cd,abstract,7,2,0,0,0,0,1,0,0,False
P1e41ce694ea2,fulltext,145,80,12,10,2,4,7,0,2,True
P1f1179f555b7,abstract,10,0,0,0,0,0,0,0,0,False
P20e4b9d95783,abstract,8,8,6,0,0,0,2,0,1,True
P20f32c9f2a91,abstract,11,9,9,0,0,2,1,0,0,True
P21129fbf680d,abstract,1,0,0,0,0,0,0,0,0,False
P21d5ff413a8c,abstract,18,6,1,0,0,0,1,0,0,True
P220013e8cb35,abstract,6,5,1,0,0,0,0,0,0,True
P226748c629f1,fulltext,200,22,0,0,0,7,5,0,0,False
P22b272c184b4,fulltext,194,83,12,1,0,12,12,0,0,True
P22bc96c98ffe,abstract,8,3,0,0,0,0,1,0,0,False
P254e426569b9,abstract,6,5,0,0,0,1,0,0,0,False
P257e70ee3641,abstract,9,3,2,0,0,0,1,0,0,True
P272caab8a4f9,abstract,15,1,1,0,0,0,0,0,0,False
P27976e1e1243,fulltext,159,90,12,1,0,12,4,0,1,True
P295b3b6fb3e2,abstract,10,1,1,0,0,0,0,0,0,False
P29a5d5ff5c00,abstract,8,2,0,0,0,1,0,0,0,False
P2a1b793a9e8f,fulltext,200,102,12,0,0,8,6,0,0,True
P2ba36f0ff5fd,abstract,6,3,0,0,0,0,0,0,0,False
P2d03d83845f8,fulltext,443,132,12,0,0,12,12,0,0,True
P2d113969aea4,abstract,5,1,0,0,0,0,0,0,0,False
P2eb978c98bf9,abstract,7,2,0,0,0,0,0,0,0,False
P2f44df04a6d7,fulltext,184,25,4,0,0,9,0,0,0,True
P3062752602e0,abstract,6,4,1,0,0,2,0,0,0,True
P30805bd75507,abstract,5,3,1,1,0,0,0,0,0,True
P313913a7bcca,abstract,10,3,1,0,0,2,0,0,0,True
P31592e731228,abstract,6,3,1,0,0,1,2,0,0,True
P318115e719f2,abstract,7,2,0,0,0,0,0,0,0,False
P3199f055e729,fulltext,258,85,12,0,0,12,7,0,0,True
P31adb9f2ba61,fulltext,209,59,7,1,0,8,9,0,0,True
P31f4177e587d,fulltext,217,51,4,0,0,12,0,0,0,True
P3371173f3862,fulltext,392,54,12,0,0,9,0,0,0,True
P35fdffc00e15,abstract,10,6,1,0,0,0,0,0,0,False
P3633db2ce88f,abstract,14,10,7,0,0,0,0,0,0,True
P365f85906edd,fulltext,212,83,12,1,0,12,12,0,2,True
P371d97e66997,abstract,10,8,7,0,0,0,0,0,0,True
P372cec6997dc,fulltext,183,40,7,0,0,12,3,0,0,True
