observation_id,paper_id,organism_name,strain_name,organism_domain,wild_type_status,wild_type_evidence,manipulation_category,manipulation_detail,outcome,failure_reason,evidence_text,section_name,genome_accession,genome_match_status,marine_status,isolation_source,environment,qc_flags,notes
Pe0c17d2ce8ba-OBS01,Pe0c17d2ce8ba,Synechococcus elongatus,PCC 7942,bacteria,yes,"Axenic reference cyanobacterial strain from the Pasteur Culture Collection, used as the recipient of exogenous plasmids; not a lab-engineered derivative.",conjugation,"Interphylum conjugation of proteobacterial conjugative plasmids (RP4, pKM101, R388, R64, F) from E. coli into S. elongatus, via BioBrick-compatible mobilizable shuttle vectors based on the pANL replication origin.",mixed,MPFF- and MPFI-type conjugative systems could not deliver DNA across phyla.,"Not only broad-host-range plasmids, such as RP4 and R388, but also narrower-host-range plasmids, such as pKM101, all encoding MPFT-type IV secretion systems, were able to transfer plasmid DNA from E. coli to S. elongatus by conjugation. Neither MPFF nor MPFI could be used as interphylum DNA delivery agents.",abstract,,not_checked,unknown,unknown,unknown,,"Multiple plasmid systems tested in one paper; success/failure split by MPF type, not by strain."
Peb4d11db8eb8-OBS01,Peb4d11db8eb8,Streptomyces rimosus,M527,bacteria,yes,Described only as 'a bacterial strain which exhibits strong antagonistic activity against a broad range of plant-pathogenic fungi'; no domestication markers mentioned.,conjugation,"Intergeneric conjugation-based genetic transformation system developed and optimized (conjugative media, donor:recipient ratio, heat shock, incubation time).",success,,"Under the optimal conditions, a maximal conjugation frequency of 3.05×10^-5 per recipient was obtained.",abstract,,not_checked,unknown,unknown,unknown,,
P46eb6e7e064b-OBS01,P46eb6e7e064b,Streptomyces coelicolor,M145,bacteria,no,"M145 is the standard plasmid-cured laboratory derivative of S. coelicolor A3(2), not a fresh wild-type isolate.",CRISPR-Cas9,Standard-level Cas9 expression for CRISPR-Cas9-mediated recombination/genome editing.,failure,Cas9 protein levels themselves were toxic to the host.,"we provide evidence of how Cas9 levels are toxic for the model actinomycetes Streptomyces coelicolor M145 and Streptomyces lividans TK24, which show delayed or absence of growth.",abstract,,not_checked,unknown,unknown,unknown,,"Keep as secondary/mechanistic per spec section 8 (engineered lab derivative, not wild-type)."
P46eb6e7e064b-OBS02,P46eb6e7e064b,Streptomyces coelicolor / Streptomyces lividans,M145 / TK24,bacteria,no,Same engineered lab derivatives as above.,CRISPR-Cas9,Cas9 expression tuned via theophylline-inducible or constitutive promoters at lowered levels; targeting validated on the glycerol uptake operon and actinorhodin biosynthesis gene cluster.,success,,We overcame this toxicity by lowering Cas9 levels and have generated a set of plasmids in which Cas9 expression is either controlled by theophylline-inducible or constitutive promoters.,abstract,,not_checked,unknown,unknown,unknown,,
Pa3a4d09b374c-OBS01,Pa3a4d09b374c,Acinetobacter sp.,Tol 5,bacteria,yes,Explicitly described as 'an environmentally isolated Gram-negative bacterium'.,electroporation,Electroporation-based transformation of the unmodified wild-type strain.,partial,Genetic manipulation was hindered by low transformation efficiency.,"its genetic manipulation has been hindered by low transformation efficiency via electroporation, rendering the process laborious and time-consuming.",abstract,,not_checked,unknown,environmental isolate,unknown,,"Paired WT vs. restriction-deficient-derivative comparison, spec section 8 example."
Pa3a4d09b374c-OBS02,Pa3a4d09b374c,Acinetobacter sp.,Tol 5 Δrestriction-I Δrestriction-III,bacteria,no,Engineered double deletion of type I and type III restriction-enzyme genes from wild-type Tol 5.,electroporation,Electroporation of the restriction-deficient derivative strain.,success,,We deleted two genes encoding type I and type III restriction enzymes. The resulting mutant strain not only exhibited marked efficiency of electrotransformation but also proved receptive to both in vitro and in vivo DNA assembly technologies,abstract,,not_checked,unknown,environmental isolate,unknown,,"Secondary/engineered-derivative record per spec section 8, paired with WT row above."
Pa3a4d09b374c-OBS03,Pa3a4d09b374c,Acinetobacter sp.,Tol 5 Δrestriction-I Δrestriction-III,bacteria,no,Same restriction-deficient derivative as above.,CRISPR-Cas9,CRISPR-Cas9-based base editing adapted from a platform developed for other Acinetobacter species.,success,,we successfully adapted a CRISPR-Cas9-based base-editing platform developed for other Acinetobacter species.,abstract,,not_checked,unknown,environmental isolate,unknown,,
P2a4a3b3d85c8-OBS01,P2a4a3b3d85c8,"Bacillus subtilis and other Bacillus spp. (B. amyloliquefaciens, B. licheniformis, B. thuringiensis)",wild environmental isolates,bacteria,yes,Explicitly 'wild B. subtilis isolates from natural environments and other Bacillus species'.,natural transformation,Cell-to-Cell Natural Transformation for Plasmid Transfer (CTCNT-P): co-culturing donor/recipient under antibiotic stress.,success,,"we demonstrate that CTCNT-P is applicable for plasmid transformation in wild Bacillus subtilis isolates from natural environments and other Bacillus species, including Bacillus amyloliquefaciens, Bacillus licheniformis, and Bacillus thuringiensis.",abstract,,not_checked,unknown,soil/natural environment,soil,,
P5d6b55c91c6d-OBS01,P5d6b55c91c6d,Vibrio campbellii,ATCC BAA-1116,bacteria,yes,Reference type-culture strain of a naturally isolated marine bacterium; genetically tractable model but not a lab-domesticated derivative.,electroporation,"New electroporation protocol (10 kV/cm, 400 Ω, 25 μF), tuned for growth phase, DNA amount, recovery conditions.",success,,"An electroporation efficiency of up to 3 × 10^4 CFU/μg DNA was demonstrated using derived parameters (10 kV/cm, 400 Ω, 25 μF)",abstract,,not_checked,marine,marine isolate,marine,,Paired with strain-panel failure row below.
P5d6b55c91c6d-OBS02,P5d6b55c91c6d,Vibrio campbellii (and sister species V. harveyi),5 of 8 additional strains tested (more heavily lab-passaged),bacteria,unclear,Passage history relative to original environmental isolation is not fully specified per strain.,electroporation,Same electroporation protocol applied across a panel of 8 additional V. campbellii/V. harveyi strains.,failure,Not amenable to electroporation-mediated transformation; only the most recent environmental isolates with fewest lab passages worked.,"of the eight other V. campbellii strains tested, only three others, which also happened to be the three most recent environmental isolates with the fewest number of laboratory passages, were amenable to electroporation-mediated transformation.",abstract,,not_checked,marine,marine isolate,marine,strain_uncertain,Exact identities of the 5 non-amenable strains not given in the abstract; needs full text for strain-level resolution.
