observation_id,paper_id,organism_name,strain_name,organism_domain,wild_type_status,wild_type_evidence,manipulation_category,manipulation_detail,outcome,failure_reason,evidence_text,section_name,genome_accession,genome_match_status,marine_status,isolation_source,environment,qc_flags,notes,extraction_method,llm_model
P4732d69493e0-OBS01,P4732d69493e0,Synechococcus sp. PCC 7002,AG11039,bacteria,no,,heterologous expression,,success,,"To determine if DNA methylation would protect plasmid DNA from restriction enzymes during transformation in PCC 7002, we generated strains of (AG11039 and AG11304, Figure B) that are deficient in native DNA methyltransferases and instead express PCC 7002 methyltransferases that have both (i) motifs detected in our methylome analysis and (ii) associated restriction enzymes (Figure A; additional strains are listed in Table S7).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P4732d69493e0-OBS02,P4732d69493e0,Synechococcus sp. PCC 7002,AG11304,bacteria,no,,heterologous expression,,success,,"To determine if DNA methylation would protect plasmid DNA from restriction enzymes during transformation in PCC 7002, we generated strains of (AG11039 and AG11304, Figure B) that are deficient in native DNA methyltransferases and instead express PCC 7002 methyltransferases that have both (i) motifs detected in our methylome analysis and (ii) associated restriction enzymes (Figure A; additional strains are listed in Table S7).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P4732d69493e0-OBS03,P4732d69493e0,Synechococcus sp. PCC 7002,DH5α,bacteria,no,,chemical transformation,,failure,,"We transformed PCC 7002 with test plasmids isolated from either our strains expressing methyltransferases or DH5α, a standard cloning strain.",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS01,P003f0cd91324,S. cerevisiae,BY4742,eukaryota,yes,,other,chimeric promoter library construction,success,,"These chimeric promoters were then used to drive GFP expression in the BY4742 strain and about 30,000 positive transformants (~ 3.5 × theoretical coverage) were obtained.",fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS02,P003f0cd91324,S. cerevisiae,BY4742,eukaryota,yes,,homologous recombination,,success,,"The intact promoter and 1585 bp 5′ terminal region of the HMG1 gene on the chromosome of BY4742 were replaced by the K0, K540, K536, and K528 sequences via CRISPR/Cas9-aided homologous recombination (Fig. 4A).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS03,P003f0cd91324,S. cerevisiae,BY4742,eukaryota,yes,,electroporation,,success,,"First, the plasmid p414-TEF1p-Cas9 -CYC1t (Addgene plasmid #43802, Cambridge, MA, USA) was introduced into BY4742 cells by electroporation to generate a Cas9-containing BY4742 strain BY4742-Cas9 (positive transformants were selected on SD-TRP agar plates).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS04,P003f0cd91324,S. cerevisiae,K0-tHMG1,eukaryota,no,,other,chimeric promoter library construction,success,,"The resulting strains K0-tHMG1, K540-tHMG1, K536-tHMG1, and K528-tHMG1 were grown in shake flasks containing YPD medium for 240 h, after which intracellular squalene accumulation was determined.",fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS05,P003f0cd91324,S. cerevisiae,K540-tHMG1,eukaryota,no,,other,chimeric promoter library construction,success,,"The resulting strains K0-tHMG1, K540-tHMG1, K536-tHMG1, and K528-tHMG1 were grown in shake flasks containing YPD medium for 240 h, after which intracellular squalene accumulation was determined.",fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS06,P003f0cd91324,S. cerevisiae,K536-tHMG1,eukaryota,no,,other,chimeric promoter library construction,success,,"The resulting strains K0-tHMG1, K540-tHMG1, K536-tHMG1, and K528-tHMG1 were grown in shake flasks containing YPD medium for 240 h, after which intracellular squalene accumulation was determined.",fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P003f0cd91324-OBS07,P003f0cd91324,S. cerevisiae,K528-tHMG1,eukaryota,no,,other,chimeric promoter library construction,success,,"The resulting strains K0-tHMG1, K540-tHMG1, K536-tHMG1, and K528-tHMG1 were grown in shake flasks containing YPD medium for 240 h, after which intracellular squalene accumulation was determined.",fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P010da0446b22-OBS01,P010da0446b22,Paenibacillus sonchi,genomovar Riograndensis SBR5,bacteria,yes,"Paenibacillus sonchi genomovar Riograndensis SBR5 (DSM 28159) was used as the expression host; Escherichia coli strain DH5α (Stratagene) was used as general cloning host. Paenibacillus sonchi genomovar Riograndensis SBR5 Wild-type strain, expression host",CRISPR-Cas9,,success,,"Therefore, we established CRISPRi in P. sonchi genomovar Riograndensis SBR5. As proof of concept, CRISPRi was used to repress genes controlling sporulation and biofilm formation in SBR5, besides a gene involved in sorbitol catabolism.",fulltext,DSM 28159,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P010da0446b22-OBS02,P010da0446b22,Paenibacillus sonchi,genomovar Riograndensis SBR5,bacteria,yes,"Paenibacillus sonchi genomovar Riograndensis SBR5 (DSM 28159) was used as the expression host; Escherichia coli strain DH5α (Stratagene) was used as general cloning host. Paenibacillus sonchi genomovar Riograndensis SBR5 Wild-type strain, expression host",CRISPR-Cas9,,success,,"CRISPRi targeting sporulation regulatory gene spo0A decreased its mRNA level. The expression of SBR5 chromosomal gene spo0A, here targeted by sgRNA-guided dCas9, was quantified (Cq) and normalized by the Cq expression of dcas9 gene (ΔCq). The relative qRT-PCR data of the knockdown strain revealed significantly reduced spo0A mRNA level (p < 0.05) in comparison with RNA samples from SBR5 control strain piCas (Fig. 4).",fulltext,DSM 28159,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P010da0446b22-OBS03,P010da0446b22,Paenibacillus sonchi,genomovar Riograndensis SBR5,bacteria,yes,"Paenibacillus sonchi genomovar Riograndensis SBR5 (DSM 28159) was used as the expression host; Escherichia coli strain DH5α (Stratagene) was used as general cloning host. Paenibacillus sonchi genomovar Riograndensis SBR5 Wild-type strain, expression host",CRISPR-Cas9,,partial,,"Even though CRISPRi-based attenuation of ydjJ led to only partial depletion of YdjJ activity, these results illustrate that repression of a chromosomally encoded catabolic gene by CRISPRi could successfully be demonstrated, and the functional role of d-sorbitol dehydrogenase YdjJ for utilization of d-sorbitol could be revealed.",fulltext,DSM 28159,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
