observation_id,organism_name,strain_name,query_used,gcf_accession,gca_accession,ncbi_taxid,biosample,bioproject,genome_match_status,notes
P4732d69493e0-OBS01,Synechococcus sp. PCC 7002,AG11039,Synechococcus sp. AG11039,,GCA_982701205.1,1131,,,species_only_match,20 assemblies found for the species but none matched strain token 'AG11039'.
P4732d69493e0-OBS02,Synechococcus sp. PCC 7002,AG11304,Synechococcus sp. AG11304,,GCA_982701205.1,1131,,,species_only_match,20 assemblies found for the species but none matched strain token 'AG11304'.
P4732d69493e0-OBS03,Synechococcus sp. PCC 7002,DH5α,Synechococcus sp.,,GCA_982701205.1,1131,,,species_only_match,40 assemblies found for the species but none matched strain token 'DH5α'.
P003f0cd91324-OBS01,S. cerevisiae,BY4742,S. cerevisiae,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'BY4742'.
P003f0cd91324-OBS02,S. cerevisiae,BY4742,S. cerevisiae,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'BY4742'.
P003f0cd91324-OBS03,S. cerevisiae,BY4742,S. cerevisiae,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'BY4742'.
P003f0cd91324-OBS04,S. cerevisiae,K0-tHMG1,S. cerevisiae,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'K0-tHMG1'.
P003f0cd91324-OBS05,S. cerevisiae,K540-tHMG1,S. cerevisiae K540-tHMG1,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'K540-tHMG1'.
P003f0cd91324-OBS06,S. cerevisiae,K536-tHMG1,S. cerevisiae K536-tHMG1,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'K536-tHMG1'.
P003f0cd91324-OBS07,S. cerevisiae,K528-tHMG1,S. cerevisiae,,GCA_000416405.1,1331972,,,species_only_match,1 assemblies found for the species but none matched strain token 'K528-tHMG1'.
P010da0446b22-OBS01,Paenibacillus sonchi,genomovar Riograndensis SBR5,Paenibacillus sonchi genomovar Riograndensis SBR5,GCF_000224945.1,,1073571,,,species_only_match,2 assemblies found for the species but none matched strain token 'genomovar Riograndensis SBR5'.
P010da0446b22-OBS02,Paenibacillus sonchi,genomovar Riograndensis SBR5,Paenibacillus sonchi genomovar Riograndensis SBR5,GCF_000224945.1,,1073571,,,species_only_match,2 assemblies found for the species but none matched strain token 'genomovar Riograndensis SBR5'.
P010da0446b22-OBS03,Paenibacillus sonchi,genomovar Riograndensis SBR5,Paenibacillus sonchi genomovar Riograndensis SBR5,GCF_000224945.1,,1073571,,,species_only_match,2 assemblies found for the species but none matched strain token 'genomovar Riograndensis SBR5'.
P010da0446b22-OBS04,Paenibacillus sonchi,genomovar Riograndensis SBR5,Paenibacillus sonchi genomovar Riograndensis SBR5,GCF_000224945.1,,1073571,,,species_only_match,2 assemblies found for the species but none matched strain token 'genomovar Riograndensis SBR5'.
P018376861d30-OBS01,Rhodococcus opacus,,Rhodococcus opacus,GCF_048288345.1,,37919,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P0422b6975d81-OBS01,Bacillus amyloliquefaciens,205,Bacillus amyloliquefaciens 205,GCF_013328835.1,,1390,SAMN15097872,PRJNA637172,exact_strain_match,
